metric,n,before_median,before_iqr,after_median,after_iqr,delta_median,improved_n,unchanged_n,worsened_n,wilcoxon_statistic,wilcoxon_p,rank_biserial_after_minus_before
Raw PMD violations,77,1.0,2.0,2.0,3.0,0.0,11,44,22,175.5,0.06256920890882611,0.37433155080213903
PMD violations per 100 code lines,77,5.769230769230769,13.461538461538462,6.25,11.764705882352942,0.0,16,33,28,355.0,0.10395330785195256,0.2828282828282828
