metric,n,before_median,before_iqr,after_median,after_iqr,delta_median,improved_n,unchanged_n,worsened_n,wilcoxon_statistic,wilcoxon_p,rank_biserial_after_minus_before,holm_p
Raw Checkstyle findings,81,0.0,6.0,1.0,4.0,0.0,14,55,12,145.5,0.4524725079536438,-0.17094017094017094,0.7233359720557928
Checkstyle findings per 100 code lines,81,0.0,25.0,1.5625,17.647058823529413,0.0,23,44,14,290.0,0.3616679860278964,-0.17496443812233287,0.7233359720557928
