snippet_id,status,parse_mode,recommendation_group,accepted_study_rows,identical_before_after,before_code_lines,before_findings,before_findings_per_100_lines,after_code_lines,after_findings,after_findings_per_100_lines,delta_findings,delta_findings_per_100_lines,outcome
so_32855556_block_4,ANALYZED,RAW,Improving Code,2,NO,12,10,83.33333333333333,8,6,75.0,-4,-8.333333333333329,IMPROVED
so_33085670_block_2,ANALYZED,RAW,Improving Code,1,NO,22,20,90.9090909090909,19,0,0.0,-20,-90.9090909090909,IMPROVED
so_33270545_block_2,ANALYZED,RAW,Improving Code,1,NO,45,0,0.0,42,1,2.380952380952381,1,2.380952380952381,WORSENED
so_33561612_block_2,PARSE_EXCLUDED,,Improving Code,4,NO,29,0,0.0,30,0,0.0,0,0.0,UNCHANGED
so_33943576_block_2,PARSE_EXCLUDED,,Bug Fixing,1,NO,15,0,0.0,11,0,0.0,0,0.0,UNCHANGED
so_34174309_block_2,ANALYZED,RAW,Improving Code,1,NO,77,9,11.688311688311689,79,9,11.39240506329114,0,-0.29590662502054954,UNCHANGED
so_34590765_block_2,ANALYZED,RAW,Bug Fixing,4,NO,104,1,0.9615384615384616,128,2,1.5625,1,0.6009615384615384,WORSENED
so_34717151_block_6,ANALYZED,METHOD_BODY,Improving Code,4,NO,52,1,1.9230769230769231,52,1,1.9230769230769231,0,0.0,UNCHANGED
so_35094888_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,53,0,0.0,58,0,0.0,0,0.0,UNCHANGED
so_3519182_block_2,ANALYZED,RAW,MULTIPLE_TYPES,3,NO,23,2,8.695652173913043,16,1,6.25,-1,-2.445652173913043,IMPROVED
so_359634_block_2,ANALYZED,RAW,Bug Fixing,2,NO,31,0,0.0,46,0,0.0,0,0.0,UNCHANGED
so_36789749_block_6,ANALYZED,RAW,Improving Code,1,NO,21,0,0.0,22,0,0.0,0,0.0,UNCHANGED
so_36805363_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,87,0,0.0,87,0,0.0,0,0.0,UNCHANGED
so_36950444_block_6,ANALYZED,RAW,Improving Code,1,NO,34,0,0.0,37,0,0.0,0,0.0,UNCHANGED
so_3775893_block_6,ANALYZED,RAW,Improving Code,2,YES,22,1,4.545454545454546,22,1,4.545454545454546,0,0.0,UNCHANGED
so_37957745_block_2,ANALYZED,RAW,Bug Fixing,1,NO,15,0,0.0,25,0,0.0,0,0.0,UNCHANGED
so_38367701_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,96,0,0.0,107,0,0.0,0,0.0,UNCHANGED
so_3870210_block_4,ANALYZED,RAW,Improving Code,6,NO,41,11,26.829268292682926,28,9,32.142857142857146,-2,5.31358885017422,IMPROVED
so_40056844_block_2,ANALYZED,RAW,MULTIPLE_TYPES,13,NO,11,0,0.0,17,0,0.0,0,0.0,UNCHANGED
so_40317313_block_6,ANALYZED,RAW,Improving Code,1,NO,21,13,61.904761904761905,28,21,75.0,8,13.095238095238095,WORSENED
so_41225553_block_2,ANALYZED,METHOD_BODY,Improving Code,1,NO,31,34,109.6774193548387,33,35,106.06060606060606,1,-3.6168132942326423,WORSENED
so_41251473_block_6,ANALYZED,RAW,Improving Code,6,NO,20,1,5.0,20,1,5.0,0,0.0,UNCHANGED
so_41471859_block_4,PARSE_EXCLUDED,,Improving Code,1,NO,15,0,0.0,1,0,0.0,0,0.0,UNCHANGED
so_41588054_block_2,ANALYZED,RAW,Improving Code,1,NO,58,67,115.51724137931035,59,68,115.2542372881356,1,-0.26300409117475,WORSENED
so_41751396_block_8,PARSE_EXCLUDED,,Improving Code,3,YES,122,0,0.0,122,0,0.0,0,0.0,UNCHANGED
so_41800354_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,63,0,0.0,62,0,0.0,0,0.0,UNCHANGED
so_42681543_block_4,PARSE_EXCLUDED,,MULTIPLE_TYPES,4,NO,100,0,0.0,100,0,0.0,0,0.0,UNCHANGED
so_4429257_block_2,PARSE_EXCLUDED,,MULTIPLE_TYPES,8,NO,31,0,0.0,26,0,0.0,0,0.0,UNCHANGED
so_453067_block_2,ANALYZED,RAW,Improving Code,2,NO,11,0,0.0,20,0,0.0,0,0.0,UNCHANGED
so_45774144_block_4,ANALYZED,METHOD_BODY,Improving Code,1,NO,10,10,100.0,18,21,116.66666666666667,11,16.66666666666667,WORSENED
so_46830988_block_4,ANALYZED,RAW,Improving Code,1,NO,19,2,10.526315789473685,7,2,28.571428571428573,0,18.045112781954888,UNCHANGED
so_46887834_block_2,ANALYZED,METHOD_BODY,Bug Fixing,3,NO,12,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_47622507_block_4,ANALYZED,RAW,Improving Code,1,NO,20,0,0.0,27,2,7.407407407407407,2,7.407407407407407,WORSENED
so_50578162_block_2,PARSE_EXCLUDED,,Improving Code,2,NO,21,0,0.0,21,0,0.0,0,0.0,UNCHANGED
so_50738131_block_2,ANALYZED,RAW,Improving Code,1,NO,28,0,0.0,26,0,0.0,0,0.0,UNCHANGED
so_51608517_block_2,PARSE_EXCLUDED,,Improving Code,2,NO,175,0,0.0,146,0,0.0,0,0.0,UNCHANGED
so_52144662_block_2,PARSE_EXCLUDED,,Improving Code,13,NO,85,0,0.0,89,0,0.0,0,0.0,UNCHANGED
so_52148106_block_4,ANALYZED,RAW,Improving Code,12,NO,13,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_53110509_block_2,ANALYZED,RAW,Improving Code,1,NO,8,2,25.0,8,2,25.0,0,0.0,UNCHANGED
so_53360610_block_4,PARSE_EXCLUDED,,Improving Code,1,NO,11,0,0.0,8,0,0.0,0,0.0,UNCHANGED
so_54119640_block_4,ANALYZED,RAW,Improving Code,6,NO,34,1,2.9411764705882355,16,1,6.25,0,3.3088235294117645,UNCHANGED
so_54298032_block_2,ANALYZED,RAW,Improving Code,2,NO,58,0,0.0,65,0,0.0,0,0.0,UNCHANGED
so_54349072_block_2,ANALYZED,RAW,Improving Code,1,NO,51,0,0.0,35,0,0.0,0,0.0,UNCHANGED
so_55003173_block_2,ANALYZED,METHOD_BODY,Bug Fixing,3,NO,12,0,0.0,12,0,0.0,0,0.0,UNCHANGED
so_55728841_block_2,ANALYZED,RAW,Improving Code,1,NO,32,0,0.0,36,1,2.7777777777777777,1,2.7777777777777777,WORSENED
so_55986044_block_2,PARSE_EXCLUDED,,Improving Code,4,NO,99,0,0.0,102,0,0.0,0,0.0,UNCHANGED
so_56259221_block_5,ANALYZED,RAW,Improving Code,1,NO,7,1,14.285714285714286,9,1,11.11111111111111,0,-3.1746031746031758,UNCHANGED
so_56611483_block_2,ANALYZED,RAW,Improving Code,1,NO,39,1,2.5641025641025643,53,1,1.8867924528301887,0,-0.6773101112723756,UNCHANGED
so_56815_block_2,ANALYZED,RAW,Improving Code,1,NO,8,0,0.0,15,0,0.0,0,0.0,UNCHANGED
so_57398454_block_2,PARSE_EXCLUDED,,Improving Code,6,NO,197,0,0.0,192,0,0.0,0,0.0,UNCHANGED
so_57560955_block_2,ANALYZED,RAW,Improving Code,1,NO,8,1,12.5,10,1,10.0,0,-2.5,UNCHANGED
so_57713309_block_2,ANALYZED,RAW,Bug Fixing,1,NO,10,9,90.0,10,8,80.0,-1,-10.0,IMPROVED
so_57997601_block_2,PARSE_EXCLUDED,,Improving Code,2,NO,15,0,0.0,22,0,0.0,0,0.0,UNCHANGED
so_58346204_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,79,0,0.0,91,0,0.0,0,0.0,UNCHANGED
so_58370217_block_2,PARSE_EXCLUDED,,Improving Code,25,NO,14,0,0.0,45,0,0.0,0,0.0,UNCHANGED
so_58617321_block_2,PARSE_EXCLUDED,,Improving Code,6,NO,16,0,0.0,16,0,0.0,0,0.0,UNCHANGED
so_58993471_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,24,0,0.0,185,0,0.0,0,0.0,UNCHANGED
so_59239733_block_4,ANALYZED,RAW,Improving Code,1,NO,15,6,40.0,18,6,33.333333333333336,0,-6.666666666666664,UNCHANGED
so_59394165_block_2,ANALYZED,RAW,Improving Code,1,NO,24,25,104.16666666666667,12,13,108.33333333333333,-12,4.166666666666657,IMPROVED
so_59664498_block_2,PARSE_EXCLUDED,,MULTIPLE_TYPES,15,NO,42,0,0.0,60,0,0.0,0,0.0,UNCHANGED
so_59823215_block_2,ANALYZED,RAW,Improving Code,1,NO,11,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_60123437_block_2,PARSE_EXCLUDED,,Improving Code,1,NO,8,0,0.0,9,0,0.0,0,0.0,UNCHANGED
so_60266789_block_2,ANALYZED,RAW,Bug Fixing,6,NO,12,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_60565131_block_4,ANALYZED,RAW,Improving Code,1,NO,18,0,0.0,18,0,0.0,0,0.0,UNCHANGED
so_60816572_block_6,PARSE_EXCLUDED,,Improving Code,1,NO,27,0,0.0,29,0,0.0,0,0.0,UNCHANGED
so_61006461_block_2,PARSE_EXCLUDED,,MULTIPLE_TYPES,2,NO,66,0,0.0,88,0,0.0,0,0.0,UNCHANGED
so_61391737_block_2,ANALYZED,RAW,Improving Code,1,NO,16,0,0.0,20,0,0.0,0,0.0,UNCHANGED
so_61780137_block_2,PARSE_EXCLUDED,,Improving Code,2,NO,39,0,0.0,42,0,0.0,0,0.0,UNCHANGED
so_6236324_block_2,PARSE_EXCLUDED,,Improving Code,3,NO,310,0,0.0,338,0,0.0,0,0.0,UNCHANGED
