metric,n,before_median,before_iqr,after_median,after_iqr,delta_median,decreased_n,unchanged_n,increased_n,wilcoxon_statistic,wilcoxon_p,holm_p
code_lines,80,19.5,19.25,20.5,19.5,1.0,19,19,42,608.0,0.015173359750556302,0.27312047551001345
method_count,80,1.0,2.0,2.0,2.0,0.0,7,58,15,94.5,0.32088327407836914,1.0
parameter_count,80,2.0,3.0,2.0,3.0,0.0,8,62,10,67.0,0.44229888916015625,1.0
max_parameters,80,2.0,1.0,1.5,1.0,0.0,5,71,4,22.5,1.0,1.0
local_variable_count,80,2.5,5.0,2.0,5.0,0.0,8,54,18,113.0,0.11648222804069519,1.0
if_count,80,1.0,2.0,1.0,2.0,0.0,9,62,9,78.0,0.7660293579101562,1.0
loop_count,80,0.5,1.0,0.5,1.0,0.0,0,78,2,0.0,0.5,1.0
switch_count,80,0.0,0.0,0.0,0.0,0.0,0,80,0,,,
catch_count,80,0.0,1.0,0.0,1.0,0.0,3,71,6,15.0,0.42578125,1.0
cyclomatic_proxy,80,3.0,3.0,3.0,3.0,0.0,10,53,17,147.5,0.3361395001411438,1.0
max_control_nesting,80,2.0,1.0,2.0,1.25,0.0,7,66,7,42.0,0.5416259765625,1.0
abrupt_exit_count,80,1.0,2.0,1.0,2.0,0.0,7,57,16,76.0,0.06051826477050781,1.0
try_count,80,0.0,1.0,0.0,1.0,0.0,2,71,7,9.0,0.12890625,1.0
try_with_resources_count,80,0.0,0.0,0.0,0.0,0.0,0,79,1,0.0,1.0,1.0
throw_count,80,0.0,0.0,0.0,0.0,0.0,1,74,5,6.0,0.4375,1.0
empty_catch_count,80,0.0,0.0,0.0,0.0,0.0,1,76,3,2.5,0.625,1.0
empty_block_count,80,0.0,0.0,0.0,0.0,0.0,2,75,3,6.0,0.8125,1.0
null_check_count,80,0.0,1.0,0.0,1.0,0.0,5,73,2,8.5,0.375,1.0
exception_handling_count,80,0.0,2.0,0.0,2.0,0.0,4,66,10,28.5,0.153076171875,1.0
