No,GH Project,Link SO,GitHub Java File Path,GitHub Method Name,GitHub Start Line,GitHub End Line,Stack Overflow Java File Path,Stack Overflow Method Name,Stack Overflow Start Line,Stack Overflow End Line,Clone Decision,Clone Type,GH Matched Start Line,GH Matched End Line,SO Matched Start Line,SO Matched End Line,Coverage GH,Coverage SO,Text Similarity,Parameterized Similarity,Structural Similarity,Semantic Evidence,Confidence,Reason,Review Required,Parse Mode GH,Parse Mode SO,GitHub Snippet SHA256,Stack Overflow Snippet SHA256,Manual Decision,Manual Clone Type,Manual Notes,Manual Reviewed At
13,aionnetwork,https://stackoverflow.com/questions/46830988,aionnetwork/aion/modUtil/src/main/java/org/aion/util/map/HashMap.java,putMapEntries,380,398,46830988/46830988_4_158689916.java,method,1,19,CLONE,TYPE_3,380,398,1,19,0.7000,0.8750,0.9760,0.9760,0.8750,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,4f09a11fc33fde5833724a751649d60899e8f32bcff68032012239261421c416,73ad567e827a0c242a3d4dca670e673db9bfe0077c48eaf8d743be9a61a6bd3c,,,,
14,aionnetwork,https://stackoverflow.com/questions/60266789,aionnetwork/aion/modUtil/src/main/java/org/aion/util/types/HexConvert.java,bytesToHexString,7,15,60266789/60266789_2_recent.java,method,1,13,CLONE,TYPE_3,7,15,2,13,1.0000,0.7333,0.7863,0.7863,1.0000,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,140f606f257cf1534097de1013e4dce6d19d31788324f4202154a04b9ad2c895,f5d0f99e551986ab714a5c9071b6dfd07fd610c30bde3c0915af92838cb3e23c,,,,
650,airlift,https://stackoverflow.com/questions/30316055,airlift/airlift/jaxrs/src/main/java/io/airlift/jaxrs/JsonMapper.java,HTMLCharacterEscapes,154,166,30316055/30316055_2_recent.java,method,1,42,NOT_CLONE,,,,,,0.8750,0.2593,0.3276,0.3276,0.8750,,MEDIUM,No Type I/II containment or substantial ordered statement core was found.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,5545b20e46bcadc47a0b462364081af1520917e7d5749117fedb19f5596c035f,8b5de6f0b81a8190513bc7f5bc5b12943bb3a3fddb3babe0c26c6cab34f4cde4,,,,
217,alchitry,https://stackoverflow.com/questions/745987,alchitry/alchitry-labs/src/com/alchitry/labs/parsers/BigFunctions.java,ln,232,259,745987/745987_2_recent.java,method,1,148,NOT_CLONE,,,,,,1.0000,0.1944,0.1581,0.1613,1.0000,,MEDIUM,No Type I/II containment or substantial ordered statement core was found.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,9d81ae223f4fa5c4b6c6af9168364ca75322437af09a0d79ff4384558fb3a84e,3823fcb945cc95da64ac3156d53ce0096923ff36395efd0333c32e0cecb9a7d4,,,,
429,algorithm004-01,https://stackoverflow.com/questions/62802127,algorithm004-01/algorithm004-01/Week 08/id_081/MaximalRectangle.java,largestRectangleArea,28,61,62802127/62802127_2_recent.java,method,1,39,CLONE,TYPE_3,32,61,6,30,0.9375,0.8108,0.8640,0.9351,0.9375,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,c06e983b0b1d6285888b507a37c1ddb3be0c2594cfec1ecbe2b9efb7aecdf18e,2f45887e1c158f910d5dafb52b357cd420f8c5fba0eb8898cd959d8833e59331,,,,
434,alibaba,https://stackoverflow.com/questions/58370217,alibaba/spring-cloud-alibaba/spring-cloud-alibaba-examples/integrated-example/integrated-gateway/src/main/java/com/alibaba/cloud/integration/gateway/config/GatewayConfig.java,corsFilter,103,114,58370217/58370217_2_recent.java,method,1,45,CLONE,TYPE_2,103,114,3,13,1.0000,0.2482,0.2349,0.2482,1.0000,,HIGH,A complete fragment has identical normalized syntax with consistent identifier mapping.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,4eb289f67326bffeee3c6c0a6081497a74dd3379fc7a5df4a6cf795fbf9da01c,e5d1a9afc2e2c93478994f4bf08bfa6d0f75d4850cc19d2718ea81477a23b239,CLONE,TYPE_3,,2026-07-31T07:48:03.163Z
435,alibaba,https://stackoverflow.com/questions/35360983,alibaba/compileflow-idea-designer/src/main/java/com/alibaba/compileflow/idea/graph/nodeview/component/ActionPanel.java,main,405,412,35360983/35360983_2_recent.java,Example,18,45,NOT_CLONE,,,,,,0.6250,0.2000,0.2512,0.2933,0.6250,,MEDIUM,No Type I/II containment or substantial ordered statement core was found.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,ea352661434805180b0b3e960ec5f7a01cf63682812f3870220cec5f4749cfa3,5f9a2e716a9fc26d95489488da7a24885fbcb9cef08a697f897307bd25fa2c51,,,,
436,alibaba,https://stackoverflow.com/questions/35360983,alibaba/compileflow-idea-designer/src/main/java/com/alibaba/compileflow/idea/graph/nodeview/component/ScriptTaskParamsPanel.java,main,84,91,35360983/35360983_2_recent.java,Example,18,45,NOT_CLONE,,,,,,0.6250,0.2000,0.2512,0.2933,0.6250,,MEDIUM,No Type I/II containment or substantial ordered statement core was found.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,5117a677a47d5220f44a458f8b54d22c5bf83ee846a9f3d1b3bde473d856345b,5f9a2e716a9fc26d95489488da7a24885fbcb9cef08a697f897307bd25fa2c51,,,,
437,alibaba,https://stackoverflow.com/questions/35360983,alibaba/compileflow-idea-designer/src/main/java/com/alibaba/compileflow/idea/graph/nodeview/component/SubBpmCodeParamsPanel.java,main,105,113,35360983/35360983_2_recent.java,Example,18,45,NOT_CLONE,,,,,,0.6250,0.2000,0.2512,0.2933,0.6250,,MEDIUM,No Type I/II containment or substantial ordered statement core was found.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,5295102856848a7197d28151d31e01c72e144a08eac940be414c8617b5e61975,5f9a2e716a9fc26d95489488da7a24885fbcb9cef08a697f897307bd25fa2c51,,,,
438,alibaba,https://stackoverflow.com/questions/3870210,alibaba/mdrill/trunk/adhoc-solr/src/main/java/org/apache/solr/request/mdrill/QuickHashMap.java,HashIterator,666,673,3870210/3870210_4_recent.java,method,1,29,CLONE,TYPE_1,666,673,6,13,1.0000,0.2557,0.2557,0.2557,1.0000,,HIGH,A complete fragment occurs verbatim after removing comments and layout.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,df68c469d3ad91f8a50f9eed9dcbcba95bf2ed928c5a7c6f9b0df7f52f279ed0,a1a6f6663976660036d12becac1cd2540321d5047a4760d7f9d574cef36c7411,CLONE,TYPE_1,,2026-07-31T07:34:24.937Z
439,alibaba,https://stackoverflow.com/questions/10774468,alibaba/mdrill/trunk/adhoc-internal/src/main/java/weka/core/NormalizableDistance.java,distance,397,464,10774468/10774468_2_recent.java,method,1,95,CLONE,TYPE_1,397,464,28,95,1.0000,0.8338,0.8338,0.8338,1.0000,,HIGH,A complete fragment occurs verbatim after removing comments and layout.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,2cb96c2d0998fcbd598ec57ec51a69aa0232eab3a15ba5f0e75cf8a739bb901c,9e35989053f2b78c393b8d44a521b67ef3f11a117e544bcdd9ee1cca1d7b40cf,CLONE,TYPE_1,,2026-07-31T07:34:45.371Z
440,alibaba,https://stackoverflow.com/questions/13462440,alibaba/dragonwell8/jdk/src/share/demo/jfc/SwingApplet/SwingApplet.java,init,74,91,13462440/13462440_6_32050882.java,init,30,44,CLONE,TYPE_2,74,91,30,44,1.0000,1.0000,0.9412,1.0000,1.0000,,HIGH,A complete fragment has identical normalized syntax with consistent identifier mapping.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,c777906d434f24444e5766212e4e96ab2b273341cad2275dd730cfe8117ad252,c0530b14241a3352f9715d1dd541f7f840ec25e4ec0dedce9c153c5d24fa2345,CLONE,TYPE_2,,2026-07-31T07:49:04.401Z
441,alibaba,https://stackoverflow.com/questions/58993471,alibaba/dragonwell8/jdk/src/share/classes/sun/security/tools/keytool/Main.java,toHexString,3371,3381,58993471/58993471_2_recent.java,method,1,363,CLONE,TYPE_3,3372,3381,352,362,0.9231,0.0674,0.0414,0.0414,0.9231,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,cecde6bdb6cbc93dd85dda21e09eaba63ca3d08ab077bf610227b267d7a54601,f776ff3e2c9a7566cb9e148cf653d56af10d4d37cb35490610182f5296c4e2f0,,,,
442,alibaba,https://stackoverflow.com/questions/29866762,alibaba/dragonwell8/jdk/src/share/classes/java/util/ComparableTimSort.java,sort,179,224,29866762/29866762_2_89013107.java,method,1,40,CLONE,TYPE_3,182,224,4,40,0.7500,0.7500,0.8510,0.8805,0.7500,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,1c2e6b7fad207a73b341b48235581ded12015fae31385c8d66729b9574424255,f2d6cbd0090a5f2d602e8ecb6f9e7d1f017c9b1874ab1fd7662f6c775d2ff52c,,,,
443,alibaba,https://stackoverflow.com/questions/29866762,alibaba/dragonwell8/jdk/src/share/classes/java/util/TimSort.java,sort,210,256,29866762/29866762_2_89013107.java,method,1,40,CLONE,TYPE_1,210,256,1,40,1.0000,1.0000,1.0000,1.0000,1.0000,,HIGH,A complete fragment occurs verbatim after removing comments and layout.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,1bba7e024cd985253d3247dd4f5cdc15ac591c639876dac78382e99978767e4a,f2d6cbd0090a5f2d602e8ecb6f9e7d1f017c9b1874ab1fd7662f6c775d2ff52c,CLONE,TYPE_1,,2026-07-31T07:34:58.087Z
444,alibaba,https://stackoverflow.com/questions/46830988,alibaba/dragonwell8/jdk/src/share/classes/java/util/HashMap.java,putMapEntries,501,519,46830988/46830988_4_158689916.java,method,1,19,CLONE,TYPE_1,501,519,1,19,1.0000,1.0000,1.0000,1.0000,1.0000,,HIGH,A complete fragment occurs verbatim after removing comments and layout.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,b469a303e48b332826bea2ef3f41947dd12eb9c1b4ae1767beefa06774090899,73ad567e827a0c242a3d4dca670e673db9bfe0077c48eaf8d743be9a61a6bd3c,CLONE,TYPE_1,,2026-07-31T07:35:05.204Z
445,alibaba,https://stackoverflow.com/questions/16799135,alibaba/dragonwell8/jdk/src/share/classes/java/util/Timer.java,sched,386,412,16799135/16799135_10_41317480.java,method,1,23,CLONE,TYPE_1,386,412,1,23,1.0000,1.0000,1.0000,1.0000,1.0000,,HIGH,A complete fragment occurs verbatim after removing comments and layout.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,f36958fdd4a07ffb645cd9c60ff015ef4bfd01bfd537e5f1324c8a5fa1b490b8,b12229d17fef9aacb11c9f5c8ef437018af7c1106c85e26950e4e34a497e3664,CLONE,TYPE_1,,2026-07-31T07:35:12.620Z
446,alibaba,https://stackoverflow.com/questions/29330741,alibaba/dragonwell8/jdk/src/share/classes/java/math/BigDecimal.java,divide,5291,5303,29330741/29330741_6_86929181.java,method,1,13,CLONE,TYPE_3,5292,5303,2,13,0.8571,0.8571,0.9630,0.9630,0.8571,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,36bb1e471b0767e848c2679d03fa87127f228da64e78d264ac92014c1a71a189,9307832391140acf4a96db84b514584bd55eca9e37b43841df3abf69ad712e43,,,,
447,alibaba,https://stackoverflow.com/questions/29330741,alibaba/dragonwell8/jdk/src/share/classes/java/math/BigDecimal.java,divide,5305,5317,29330741/29330741_6_86929181.java,method,1,13,CLONE,TYPE_1,5305,5317,1,13,1.0000,1.0000,1.0000,1.0000,1.0000,,HIGH,A complete fragment occurs verbatim after removing comments and layout.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,4d0557069d419a2f356c1e19658e7b2fa7e49d137f528e95ad6b23d93fec629c,9307832391140acf4a96db84b514584bd55eca9e37b43841df3abf69ad712e43,CLONE,TYPE_1,,2026-07-31T07:35:18.287Z
448,alibaba,https://stackoverflow.com/questions/45774144,alibaba/dragonwell8/jdk/src/share/classes/javax/swing/plaf/metal/MetalTabbedPaneUI.java,update,719,725,45774144/45774144_4_recent.java,method,1,21,NOT_CLONE,,,,,,0.7143,0.2632,0.3929,0.4130,0.7143,,MEDIUM,No Type I/II containment or substantial ordered statement core was found.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,fc0f73d5228a1cfebfd6fffbddf0f51fffd35969670208dd5aad517c583cf5fe,6f2d006bf421a42f38ba5c2aab1c42442d2dbf11d8d86b7321c81057421ee7a3,,,,
449,alibaba,https://stackoverflow.com/questions/54119640,alibaba/dragonwell8/jdk/src/share/classes/javax/swing/plaf/basic/BasicTableHeaderUI.java,mouseClicked,99,116,54119640/54119640_4_189259651.java,mouseClicked,10,26,CLONE,TYPE_3,99,116,10,26,0.7500,0.8571,0.8571,0.9180,0.8571,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,2a6732afef0ba34061445adeaf545b78528d8ecc0eebb1f4448a9b1027c70d10,59e2ef0f2ed93467dda31ef051eea5447fd9fa51dda2896417f0139abdbef8fc,,,,
450,alibaba,https://stackoverflow.com/questions/58993471,alibaba/dragonwell8/jdk/test/sun/security/pkcs11/tls/TestLeadingZeroesP11.java,toHexString,124,136,58993471/58993471_2_recent.java,method,1,363,CLONE,TYPE_3,125,136,352,362,0.9231,0.0674,0.0414,0.0414,0.9231,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,05618cf16b20c08ec4b17959723e4af297ec40e95fe940638731eed9f56e5331,f776ff3e2c9a7566cb9e148cf653d56af10d4d37cb35490610182f5296c4e2f0,,,,
451,alibaba,https://stackoverflow.com/questions/58993471,alibaba/dragonwell8/jdk/test/sun/security/x509/X500Name/DerValueConstructor.java,toHexString,119,131,58993471/58993471_2_recent.java,method,1,363,CLONE,TYPE_1,119,131,149,159,1.0000,0.0419,0.0419,0.0419,1.0000,,HIGH,A complete fragment occurs verbatim after removing comments and layout.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,f40de59c659528869f54023f4da2b3856233b9d398b391625c21e70cf44fc00a,f776ff3e2c9a7566cb9e148cf653d56af10d4d37cb35490610182f5296c4e2f0,CLONE,TYPE_1,,2026-07-31T07:35:31.004Z
452,alibaba,https://stackoverflow.com/questions/64938483,alibaba/dragonwell8/jdk/test/jdk/jfr/jcmd/TestJcmdStartWithSettings.java,run,167,176,64938483/64938483_2_recent.java,method,1,68,NOT_CLONE,,,,,,1.0000,0.1613,0.0914,0.0914,1.0000,,MEDIUM,No Type I/II containment or substantial ordered statement core was found.,NO,BALANCED_TOKEN_SEQUENCE,TOKEN_FALLBACK,c38839e2ee06e79efeeb9b59b8895a31aed7468eb7cc17ba9e1ada5c7ae563fc,7a7d226ceb229cb1a2032306bba7358de48086650875ea2c8bb7a0343506b220,,,,
453,alibaba,https://stackoverflow.com/questions/6702420,alibaba/dragonwell8/jdk/test/java/awt/im/6396526/IMLookAndFeel.java,main,68,76,6702420/6702420_2_89518975.java,main,9,18,CLONE,TYPE_1,68,76,9,18,1.0000,1.0000,1.0000,1.0000,1.0000,,HIGH,A complete fragment occurs verbatim after removing comments and layout.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,c8870b3d66c9973ca4d8d2d754ba04e31d31090cdc78935f5b32eeaefe7c494b,535f77d75527dc027adbf7ce5ebf851d08b0142e31a7f0a8d072913c4b0260a6,CLONE,TYPE_1,,2026-07-31T07:35:34.970Z
454,alibaba,https://stackoverflow.com/questions/58993471,alibaba/dragonwell8/jdk/test/com/sun/crypto/provider/KeyAgreement/DHKeyAgreement2.java,toHexString,271,283,58993471/58993471_2_recent.java,method,1,363,CLONE,TYPE_3,272,283,352,362,0.9231,0.0674,0.0414,0.0414,0.9231,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,05618cf16b20c08ec4b17959723e4af297ec40e95fe940638731eed9f56e5331,f776ff3e2c9a7566cb9e148cf653d56af10d4d37cb35490610182f5296c4e2f0,,,,
455,alibaba,https://stackoverflow.com/questions/58993471,alibaba/dragonwell8/jdk/test/com/sun/crypto/provider/KeyAgreement/DHKeyAgreement3.java,toHexString,178,190,58993471/58993471_2_recent.java,method,1,363,CLONE,TYPE_3,179,190,352,362,0.9231,0.0674,0.0414,0.0414,0.9231,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,05618cf16b20c08ec4b17959723e4af297ec40e95fe940638731eed9f56e5331,f776ff3e2c9a7566cb9e148cf653d56af10d4d37cb35490610182f5296c4e2f0,,,,
456,alibaba,https://stackoverflow.com/questions/58993471,alibaba/dragonwell8/jdk/test/com/sun/crypto/provider/Cipher/Blowfish/BlowfishTestVector.java,toHexString,133,145,58993471/58993471_2_recent.java,method,1,363,CLONE,TYPE_3,134,145,352,362,0.9231,0.0674,0.0419,0.0419,0.9231,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,a6b4d4fc6cf0381ae6e3199750130ffa9ce08332c18d4029c91a280eedd7c67a,f776ff3e2c9a7566cb9e148cf653d56af10d4d37cb35490610182f5296c4e2f0,,,,
457,alibaba,https://stackoverflow.com/questions/58993471,alibaba/dragonwell8/jdk/test/com/sun/crypto/provider/TLS/TestLeadingZeroes.java,toHexString,130,142,58993471/58993471_2_recent.java,method,1,363,CLONE,TYPE_3,131,142,352,362,0.9231,0.0674,0.0414,0.0414,0.9231,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,05618cf16b20c08ec4b17959723e4af297ec40e95fe940638731eed9f56e5331,f776ff3e2c9a7566cb9e148cf653d56af10d4d37cb35490610182f5296c4e2f0,,,,
458,alibaba,https://stackoverflow.com/questions/58617321,alibaba/dragonwell8/jdk/test/javax/imageio/plugins/bmp/BMPSubsamplingTest.java,create3ByteImage,329,342,58617321/58617321_2_recent.java,method,1,17,CLONE,TYPE_3,330,342,5,17,0.8333,0.4545,0.6418,0.6923,0.8333,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,1983a231675b46b19c8c0086d87df575a70ed50b74dc28310ed30b23bfc953e4,cf14625a123db4bab2ab7da6d70ad666935f22e4b1b3ba9e7317da7303bc3bf6,,,,
459,alibaba,https://stackoverflow.com/questions/58370217,alibaba/nacos/console/src/main/java/com/alibaba/nacos/console/config/ConsoleConfig.java,corsFilter,60,71,58370217/58370217_2_recent.java,method,1,45,NOT_CLONE,,,,,,0.8182,0.2500,0.2553,0.2734,0.8182,,MEDIUM,No Type I/II containment or substantial ordered statement core was found.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,c9a0663e533285535b60a6c06d33c8b00dde52990cc6ddd0623936ee374a5989,e5d1a9afc2e2c93478994f4bf08bfa6d0f75d4850cc19d2718ea81477a23b239,,,,
