No,GH Project,Link SO,GitHub Java File Path,GitHub Method Name,GitHub Start Line,GitHub End Line,Stack Overflow Java File Path,Stack Overflow Method Name,Stack Overflow Start Line,Stack Overflow End Line,Clone Decision,Clone Type,GH Matched Start Line,GH Matched End Line,SO Matched Start Line,SO Matched End Line,Coverage GH,Coverage SO,Text Similarity,Parameterized Similarity,Structural Similarity,Semantic Evidence,Confidence,Reason,Review Required,Parse Mode GH,Parse Mode SO,GitHub Snippet SHA256,Stack Overflow Snippet SHA256,Manual Decision,Manual Clone Type,Manual Notes,Manual Reviewed At
787,1024-lab,https://stackoverflow.com/questions/58370217,1024-lab/smart-admin/smart-admin-api/sa-common/src/main/java/net/lab1024/sa/common/config/CorsFilterConfig.java,corsFilter,30,44,58370217/58370217_2_recent.java,method,1,45,NOT_CLONE,,,,,,0.9000,0.2500,0.2393,0.2482,0.9000,,MEDIUM,No Type I/II containment or substantial ordered statement core was found.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,c63f34761279235d3e057c3a6e166d7e0f280f7731bd0d9694f561a052ca162f,e5d1a9afc2e2c93478994f4bf08bfa6d0f75d4850cc19d2718ea81477a23b239,CLONE,TYPE_3,"Yes, the corsFilter method.",2026-07-30T23:31:02.579Z
497,abfab3d,https://stackoverflow.com/questions/21178275,abfab3d/abfab3d/src/java/abfab3d/shapejs/Project.java,extractZip,872,923,21178275/21178275_2_recent.java,method,1,55,CLONE,TYPE_3,873,923,3,55,0.9394,0.8611,0.8459,0.8864,0.9394,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,b47050a1427865203b2d868c285e170c191e11f2066bb13373686be61b4cb182,63a824538e0afb79765ed5571f66811ce5368753593b967b6d1bf8fc7bcd6a02,CLONE,TYPE_3,,2026-07-30T23:31:41.013Z
349,actframework,https://stackoverflow.com/questions/4429257,actframework/actframework/src/main/java/act/conf/AppConfig.java,newBundle,3878,3910,4429257/4429257_2_9347476.java,newBundle,2,32,CLONE,TYPE_3,3885,3910,7,32,0.9286,0.9286,0.9758,0.9758,0.9286,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,36d378f97e6898a1528f24e8358de7f8b2dc9d0d80831071e93612a154239161,c219b187dd01b975e3a79d596f983c3128f58ccf761e0fdc7fa4f3adb7546fa2,CLONE,TYPE_3,,2026-07-31T02:47:08.783Z
2,actiontech,https://stackoverflow.com/questions/60266789,actiontech/dble/src/main/java/com/actiontech/dble/util/HexFormatUtil.java,bytesToHexString,19,27,60266789/60266789_2_recent.java,method,1,13,CLONE,TYPE_3,19,27,2,13,1.0000,0.7333,0.7563,0.7863,1.0000,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,2abb0093e657b6207b2c1aa425466805db97ed7a1a9ffbe472b95526c18567bc,f5d0f99e551986ab714a5c9071b6dfd07fd610c30bde3c0915af92838cb3e23c,,,,
614,addstarmc,https://stackoverflow.com/questions/4429257,addstarmc/minigames/Minigames/src/main/java/au/com/mineauz/minigames/managers/message/UTF8Control.java,newBundle,23,51,4429257/4429257_2_9347476.java,newBundle,2,32,CLONE,TYPE_3,26,51,7,32,0.9286,0.9286,0.9401,0.9636,0.9286,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,5aef77ec8740dee60c985c75b3a556db6c3e21ad94874f9f2744dfcc051d4a19,c219b187dd01b975e3a79d596f983c3128f58ccf761e0fdc7fa4f3adb7546fa2,,,,
555,adoptopenjdk,https://stackoverflow.com/questions/54298032,adoptopenjdk/icedtea-web/core/src/main/java/net/sourceforge/jnlp/util/docprovider/TextsProvider.java,copy,515,527,54298032/54298032_2_recent.java,copy,58,72,CLONE,TYPE_3,516,527,60,72,0.9231,0.8571,0.7653,0.7835,0.9231,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,8cb7076bf8967c348bf1d308b457f3512a8638e36a666e52a7639b603390881c,0a5f84bd99cab8242b347ba1ca13e07d1364ea59b57d81087bfaf519b17497f6,,,,
273,agreementmaker,https://stackoverflow.com/questions/6702420,agreementmaker/agreementmaker/projects/ui/src/main/java/am/ui/controlpanel/table/MatchersTablePanel.java,main,243,251,6702420/6702420_2_89518975.java,main,9,18,CLONE,TYPE_1,243,251,9,18,1.0000,1.0000,1.0000,1.0000,1.0000,,HIGH,A complete fragment occurs verbatim after removing comments and layout.,NO,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,1042d2f0b5553641bbe2b749fbf5a9ac0fc9bea0edb14b2c0b8c0629ed1f8399,535f77d75527dc027adbf7ce5ebf851d08b0142e31a7f0a8d072913c4b0260a6,CLONE,TYPE_1,,2026-07-31T02:47:15.633Z
195,aicis,https://stackoverflow.com/questions/3775893,aicis/fresco/suite/spdz/src/test/java/dk/alexandra/fresco/suite/spdz/storage/InitializeStorage.java,deleteFileOrFolder,49,79,3775893/3775893_6_recent.java,method,1,25,CLONE,TYPE_3,50,79,2,25,0.6957,0.7273,0.9262,0.9262,0.7273,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,2ed2163bd98bc8ce36001ec6bcce8237a7b504704b5c25bf7101c637f73aa3a9,98611ee6c66c7cb6e1a14d5e1fc2d3e3cadbf689bbf7ea38106eea835c0c26fa,,,,
196,aicis,https://stackoverflow.com/questions/3775893,aicis/fresco/suite/tinytables/src/test/java/dk/alexandra/fresco/suite/tinytables/TestTinyTables.java,deleteFileOrFolder,110,139,3775893/3775893_6_recent.java,method,1,25,CLONE,TYPE_3,111,139,2,25,0.6957,0.7273,0.9262,0.9262,0.7273,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,42e17781c229c6f70536e2f65e264bf245169e6d2e4accd62dc73ce5b7aa819a,98611ee6c66c7cb6e1a14d5e1fc2d3e3cadbf689bbf7ea38106eea835c0c26fa,,,,
12,aionnetwork,https://stackoverflow.com/questions/60266789,aionnetwork/aion/modPrecompiled/src/org/aion/precompiled/util/HexConvert.java,bytesToHexString,7,15,60266789/60266789_2_recent.java,method,1,13,CLONE,TYPE_3,7,15,2,13,1.0000,0.7333,0.7863,0.7863,1.0000,,MEDIUM,"A substantial ordered core of normalized statements was found with additions, deletions, or changes.",YES,BALANCED_TOKEN_SEQUENCE,BALANCED_TOKEN_SEQUENCE,140f606f257cf1534097de1013e4dce6d19d31788324f4202154a04b9ad2c895,f5d0f99e551986ab714a5c9071b6dfd07fd610c30bde3c0915af92838cb3e23c,,,,
